1,-90,0,-30,250.0,185,0
2,-90,0,-30,250.0,-30,0
1,-90,0,-15,250.0,-90,0
2,-90,0,-15,250.0,-15,0
1,-90,0,0,250.0,-90,0
2,-90,0,0,250.0,0,0
1,-90,0,15,250.0,-90,0
2,-90,0,15,250.0,15,0
1,-90,0,30,250.0,-90,0
2,-90,0,30,250.0,30,0
1,-45,0,-30,250.0,185,0
2,-45,0,-30,250.0,-30,0
1,-45,0,-15,250.0,185,0
2,-45,0,-15,250.0,-15,0
1,-45,0,0,250.0,185,0
2,-45,0,0,250.0,0,0
1,-45,0,15,250.0,-185,0
2,-45,0,15,250.0,15,0
1,-45,0,30,250.0,-45,0
2,-45,0,30,250.0,30,0
1,0,0,-30,250.0,185,0
2,0,0,-30,250.0,-30,0
1,0,0,-15,250.0,185,0
2,0,0,-15,250.0,-15,0
1,0,0,0,250.0,185,0
2,0,0,0,250.0,0,0
1,0,0,15,250.0,-185,0
2,0,0,15,250.0,15,0
1,0,0,30,250.0,-185,0
2,0,0,30,250.0,30,0
1,45,0,-30,250.0,45,0
2,45,0,-30,250.0,-30,0
1,45,0,-15,250.0,185,0
2,45,0,-15,250.0,-15,0
1,45,0,0,250.0,185,0
2,45,0,0,250.0,0,0
1,45,0,15,250.0,-185,0
2,45,0,15,250.0,15,0
1,45,0,30,250.0,-185,0
2,45,0,30,250.0,30,0
1,90,0,-30,250.0,90,0
2,90,0,-30,250.0,-30,0
1,90,0,-15,250.0,90,0
2,90,0,-15,250.0,-15,0
1,90,0,0,250.0,90,0
2,90,0,0,250.0,0,0
1,90,0,15,250.0,90,0
2,90,0,15,250.0,15,0
1,90,0,30,250.0,-185,0
2,90,0,30,250.0,30,0
